Helység,Törzskörméret (cm),Megye,GPS adat,Mérés éve,Faj,"Megjegyzés, újabb mérés, nyomravezető",lat,lon
Csokonyavisonta,527,Somogy,"46,02,45-17,27,01",2016,kocsányos tölgy,,46.045833,17.450278
Őcsény,527,Tolna,"46,18,21-18,46,57",2010,kocsányos tölgy,"Elblinger Ferenc, Dombi Imre",46.305833,18.7825
Merenye,527,Baranya,"46,03,29-17,42,20",2020,kocsányos tölgy,Lukács Róbert,46.058056,17.705556
Szulok,526,Somogy,"46,03,06-17,30,55",2015,kocsányos tölgy,Lukács Róbert,46.051667,17.515278
Tibolddaróc,526,Borsod-Abaúj-Zemplén,"47,56,37-20,36,15",2016,csertölgy,"Torma Zoltánné, Torma Zoltán; Szél Győző",47.943611,20.604167
Káld,526,Vas,"47,08,35-16,59,23",2010,csertölgy,"Khell Melinda, Németh Tamás",47.143056,16.989722
Nadap,526,Fejér,"47,16,46-18,34,58",2009,kocsányos tölgy,Szél Győző,47.279444,18.582778
Molvány,526,Baranya,"46,01,15-17,45,05",2011,kocsányos tölgy,Lukács Róbert,46.020833,17.751389
Oroszlány,526,Komárom-Esztergom,"47,27,19-18,16,04",2020,kocsányos tölgy,Szél Győző; magasság: 23 m/2020,47.455278,18.267778
Cserénfa,525,Somogy,"46,18,37-17,52,21",2019,csertölgy,"Balogh Béla, Schmidt András; magasság: 26 m/2019",46.310278,17.8725
Tornyiszentmiklós,525,Zala,"46,31,50-16,32,15",2003,kocsányos tölgy,Vissi Géza; 554/2025,46.530556,16.5375
Borsfa,525,Zala,"46,29,07-16,47,10",2013,kocsányos tölgy,"Csóbor Ákos, Sovány Mihály; 535/2016, 539/2018",46.485278,16.786111
Lakitelek,525,Bács-Kiskun,"46,51,19-20,00,16",2026,kocsányos tölgy,"Balczó Tamás, Buzás Csobán",46.855278,20.004444
Nagyrécse,525,Zala,"46,29,16-17,04,13",2018,csertölgy,"Horváth Béla, Torma Zoltánné, Torma Zoltán",46.487778,17.070278
Kaposvár,525,Somogy,"46,21,48-17,44,17",2008,,Petrovics Balázs,46.363333,17.738056
Tormafölde,525,Zala,"46,31,35-16,35,29",2011,kocsányos tölgy,Vissi Géza,46.526389,16.591389
Bóly,525,Baranya,"45,58,07-18,30,45",2003,kocsányos tölgy,"536/2008; 543/2014 - csonkult, több nagy ágát levágták. 540/2021",45.968611,18.5125
Orosztony,525,Zala,"46,36,02-17,03,45",2012,kocsánytalan tölgy,"Vissi Géza, Baranyai László; 539/2023",46.600556,17.0625
Somogyvár,525,Somogy,"46,34,55-17,37,28",2005,kocsányos tölgy,,46.581944,17.624444
Rátót,524,Vas,"46,57,45-16,25,41",2003,kocsányos tölgy,559/2015; 560/2020,46.9625,16.428056
Sárvár,524,Vas,"47,14,33-16,56,42",2003,kocsányos tölgy,,47.2425,16.945
Túristvándi,524,Szabolcs-Szatmár-Bereg,"48,03,56-22,40,10",2009,kocsányos tölgy,Barcánfalvi Péter; 534/2014,48.065556,22.669444
Gemenc,524,Tolna,"46,19,48-18,50,55",2003,kocsányos tölgy,Keselyűs. 539/2009; 554/2013febr; 560/2015ápr,46.33,18.848611
Nagymágocs,524,Csongrád,"46,35,38-20,28,09",2026,kocsányos tölgy,Baráth Miklós,46.593889,20.469167
Babócsa,523,Somogy,"46,01,24-17,20,10",2011,kocsányos tölgy,Szél Győző,46.023333,17.336111
Sárvár,523,Vas,"47,14,41-16,56,53",2003,kocsányos tölgy,550/2008; 565/2012; 577/2014,47.244722,16.948056
Csokonyavisonta,523,Somogy,"46,02,48-17,27,56",2015,kocsányos tölgy,Lukács Róbert,46.046667,17.465556
Tata,523,Komárom-Esztergom,"47,39,02-18,20,41",2024,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán, Torma Ágnes",47.650556,18.344722
Teklafalu,522,Baranya,"45,55,47-17,43,45",2020,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán",45.929722,17.729167
Zsadány,522,Békés,"46,54,53-21,26,07",2004,kocsányos tölgy,"Orosipusztán; 522/2013, 533/2023",46.914722,21.435278
Csokonyavisonta,522,Somogy,"46,02,30-17,27,23",2011,kocsányos tölgy,Zombori Zoltán,46.041667,17.456389
Cserépfalu,522,Borsod-Abaúj-Zemplén,"47,57,44-20,33,42",2017,kocsányos tölgy,Barczi József,47.962222,20.561667
Lad,522,Somogy,"46,08,51-17,38,55",2005,kocsányos tölgy,"540/2009; sok borostyánt levonva kb. 545/2014, 556/2017, 570/2023",46.1475,17.648611
Alsóbogát,522,Somogy,"46,30,48-17,45,27",2007,kocsányos tölgy,"Detrich Miklós, Nagy László",46.513333,17.7575
Tótszentgyörgy,521,Baranya,"46,02,52-17,43,49",2008,kocsányos tölgy,Lukács Róbert,46.047778,17.730278
Pölöske,521,Zala,"46,42,57-16,55,18",2020,kocsányos tölgy,Nagy Dániel,46.715833,16.921667
Szentlászló,521,Somogy,"46,10,48-17,49,32",2015,kocsányos tölgy,"Hoffmann Zsolt, Lukács Róbert",46.18,17.825556
Diósviszló,521,Baranya,"45,51,45-18,09,47",2010,kocsányos tölgy,"Lukács Róbert, Szél Győző",45.8625,18.163056
Gic,520,Veszprém,"47,25,40-17,45,58",2021,kocsányos tölgy,"Volf Krisztián, Jandala Attila; magasság: 27 m/2021",47.427778,17.766111
Patapoklosi,520,Baranya,"46,04,34-17,42,46",2016,kocsányos tölgy,Lukács Róbert,46.076111,17.712778
Debrecen,520,Hajdú-Bihar,"47,33,19-21,37,10",2004,kocsányos tölgy,,47.555278,21.619444
Kisdér,520,Baranya,"45,56,32-18,07,44",2025,kocsányos tölgy,"Torma Zoltán, Pósfai Mihály",45.942222,18.128889
Tótszentgyörgy,520,Baranya,"46,03,08-17,43,45",2008,kocsányos tölgy,Lukács Róbert,46.052222,17.729167
Bódvalenke,520,Borsod-Abaúj-Zemplén,"48,31,42-20,47,51",2012,kocsányos tölgy,Molnár Bence,48.528333,20.7975
Bajánsenye,520,Vas,"46,47,33-16,23,48",2025,kocsányos tölgy,Nagy Dániel,46.7925,16.396667
Szőcsénypuszta,520,Somogy,"46,31,37-17,18,58",2008,kocsányos tölgy,,46.526944,17.316111
Gyékényes,520,Somogy,"46,14,02-17,02,20",2017,kocsányos tölgy,Novográdecz Péter; magasság: 34 m/2017,46.233889,17.038889
Zalatárnok,520,Zala,"46,41,21-16,47,25",2023,kocsányos tölgy,"Fitos László Zoltán, Fitos László Vencel",46.689167,16.790278
Salgótarján,520,Nógrád,"48,04,58-19,48,31",2012,kocsányos tölgy,Jandala Attila,48.082778,19.808611
Iklódbördőce,520,Zala,"46,35,26-16,35,48",2012,kocsányos tölgy,Baranyai László,46.590556,16.596667
Kerkafalva,520,Zala,"46,46,32-16,28,45",2004,kocsányos tölgy,532/2012,46.775556,16.479167
Babócsa,520,Somogy,"46,01,00-17,20,01",2012,kocsányos tölgy,"Lukács Róbert, Szél Győző, Zombori Zoltán",46.016667,17.333611
Nagyrécse,520,Zala,"46,29,00-17,04,31",2024,csertölgy,magasság: 28 m/2024,46.483333,17.075278
Sárvár,520,Vas,"47,16,50-16,58,44",2003,kocsányos tölgy,halott/2014,47.280556,16.978889
Vásárosbéc,519,Baranya,"46,10,10-17,43,28",2009,csertölgy,Lukács Róbert,46.169444,17.724444
Földeák,519,Csongrád,"46,19,31-20,27,44",2008,kocsányos tölgy,547/2018,46.325278,20.462222
Magyargencs,519,Veszprém,"47,22,50-17,17,10",2019,kocsányos tölgy,Teket Attila; magasság: 23 m/2019,47.380556,17.286111
Nagyrécse,519,Zala,"46,29,14-17,04,27",2009,csertölgy,549/2018; 560/2024,46.487222,17.074167
Homorúd,519,Baranya,"45,56,39-18,50,15",2017,kocsányos tölgy,"András István, Torma Zoltánné, Torma Zoltán; magasság: 28 m/2017",45.944167,18.8375
Túristvándi,519,Szabolcs-Szatmár-Bereg,"48,03,58-22,39,56",2009,kocsányos tölgy,Barcánfalvi Péter,48.066111,22.665556
Ivánc,518,Vas,"46,53,55-16,26,45",2016,kocsányos tölgy,Merkei Gábor,46.898611,16.445833
Zalabaksa,518,Zala,"46,43,01-16,32,26",2012,kocsányos tölgy,Vissi Géza,46.716944,16.540556
Tiszaigar,518,Jász-Nagykun-Szolnok,"47,31,11-20,47,55",2003,kocsányos tölgy,535/2016,47.519722,20.798611
Oroszlány,518,Komárom-Esztergom,"47,27,12-18,16,07",2014,kocsányos tölgy,,47.453333,18.268611
Kőkút-Gyöngyöspuszta,518,Somogy,"46,09,45-17,36,10",2006,kocsányos tölgy,"Detrich Miklós, Simon László; 561/2020, 571/2026",46.1625,17.602778
Nagykovácsi,518,Pest,"47,34,31-18,53,29",2011,csertölgy,Baranyai László,47.575278,18.891389
Szőcsénypuszta,518,Somogy,"46,31,38-17,18,57",2017,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán",46.527222,17.315833
Patca,517,Somogy,"46,17,10-17,44,09",2015,csertölgy,Lukács Róbert,46.286111,17.735833
Bakonynána,517,Veszprém,"47,15,20-17,57,36",2015,kocsányos tölgy,Szél Győző,47.255556,17.96
Zádor,517,Baranya,"45,57,12-17,38,44",2020,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán",45.953333,17.645556
Kölked,517,Baranya,"45,57,28-18,44,14",2018,kocsányos tölgy,Szél Győző,45.957778,18.737222
Gutorfölde,516,Zala,"46,38,58-16,43,34",2025,kocsányos tölgy,,46.649444,16.726111
Ács,516,Komárom-Esztergom,"47,43,44-18,03,14",2010,kocsányos tölgy,Szél Győző,47.728889,18.053889
Tiszadob,516,Szabolcs-Szatmár-Bereg,"48,01,26-21,09,54",2016,kocsányos tölgy,,48.023889,21.165
Vejti,516,Baranya,"45,49,46-17,58,20",2002,kocsányos tölgy,530/2016,45.829444,17.972222
Mikepércs,515,Hajdú-Bihar,"47,25,13-21,38,51",2009,kocsányos tölgy,,47.420278,21.6475
Muraszemenye,515,Zala,"46,29,14-16,38,22",2011,kocsányos tölgy,Vissi Géza,46.487222,16.639444
Szulok,515,Somogy,"46,02,28-17,31,37",2015,kocsányos tölgy,Lukács Róbert,46.041111,17.526944
Somogytarnóca,515,Somogy,"46,00,57-17,27,44",2015,csertölgy,"Lukács Róbert, Szél Győző",46.015833,17.462222
Patapoklosi,515,Baranya,"46,04,36-17,42,49",2016,csertölgy,Lukács Róbert,46.076667,17.713611
Bodajk,515,Fejér,"47,19,25-18,10,19",2020,kocsányos tölgy,Szél Győző,47.323611,18.171944
Segesd,515,Somogy,"46,21,27-17,22,52",2020,kocsányos tölgy,,46.3575,17.381111
Böhönye,515,Somogy,"46,24,23-17,23,25",2015,kocsányos tölgy,525/2020,46.406389,17.390278
Homorúd,515,Baranya,"45,57,19-18,49,58",2017,kocsányos tölgy,"András István, Torma Zoltánné, Torma Zoltán",45.955278,18.832778
Merenye,515,Baranya,"46,03,30-17,42,14",2020,kocsányos tölgy,Lukács Róbert,46.058333,17.703889
Szőkedencs,515,Somogy,"46,32,52-17,13,52",2017,kocsányos tölgy,Sólyom Attila,46.547778,17.231111
Gyulavári,515,Békés,"46,41,34-21,25,05",2009,kocsányos tölgy,521/2013; 2025: már nincsen meg,46.692778,21.418056
Parádsasvár,515,Heves,"47,55,34-19,58,58",2012,csertölgy,Szél Győző,47.926111,19.982778
Hédervár,515,Győr-Moson-Sopron,"47,49,25-17,27,43",2013,kocsányos tölgy,Szél Győző,47.823611,17.461944
Lad/Rákospuszta,515,Somogy,"46,08,58-17,39,30",2017,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán; magasság: 29 m/2017",46.149444,17.658333
Szentbalázs,514,Somogy,"46,18,56-17,53,39",2020,kocsányos tölgy,Schmidt András,46.315556,17.894167
Tuzsér,514,Szabolcs-Szatmár-Bereg,"48,20,50-22,07,18",2003,kocsányos tölgy,540/2023,48.347222,22.121667
Tornyiszentmiklós,514,Zala,"46,31,42-16,32,36",2025,kocsányos tölgy,,46.528333,16.543333
Zsadány,514,Békés,"46,54,54-21,26,05",2023,kocsányos tölgy,,46.915,21.434722
Csokonyavisonta,514,Somogy,"46,02,44-17,27,24",2016,kocsányos tölgy,,46.045556,17.456667
Gemenc,514,Tolna,"46,19,45-18,52,48",2010,kocsányos tölgy,"130 cm-en kettéágazik. Elblinger Ferenc, Dombi Imre",46.329167,18.88
Mikebuda,514,Pest,"47,09,09-19,38,08",2011,kocsányos tölgy,Baranyai László,47.1525,19.635556
Debrecen,514,Hajdú-Bihar,"47,33,08-21,37,38",2012,kocsányos tölgy,,47.552222,21.627222
Marcali,514,Somogy,"46,31,58-17,29,39",2015,kocsányos tölgy,"Sólyom Attila, Kisgyura László, Szehágel István",46.532778,17.494167
Iklódbördőce,514,Zala,"46,35,12-16,35,49",2012,kocsányos tölgy,Baranyai László,46.586667,16.596944
Sárvár,514,Vas,"47,15,12-16,56,38",2016,kocsányos tölgy,"Szél Győző, Torma Zoltán, Torma Zoltánné; 518/2022",47.253333,16.943889
Kevermes,514,Békés,"46,24,51-21,10,50",2026,kocsányos tölgy,Varga Zoltán; magasság: 26 m/2026,46.414167,21.180556
Somogyvár/Vityapuszta,514,Somogy,"46,35,29-17,43,43",2016,kocsányos tölgy,Sólyom Attila,46.591389,17.728611
Dénesfa,514,Győr-Moson-Sopron,"47,27,06-17,02,24",2003,kocsányos tölgy,,47.451667,17.04
Lajosmizse,514,Bács-Kiskun,"47,05,37-19,33,26",2011,kocsányos tölgy,Baranyai László,47.093611,19.557222
Sárvár,514,Vas,"47,16,38-16,58,48",2003,kocsányos tölgy,519/2014; kidőlve találtuk/2020,47.277222,16.98
Öreglak,513,Somogy,"46,35,16-17,37,19",2016,kocsányos tölgy,"Baranyai László, Sólyom Attila",46.587778,17.621944
Kétegyháza,513,Békés,"46,32,45-21,11,46",2017,kocsányos tölgy,Abrudán Attila,46.545833,21.196111
Kadarkút,513,Somogy,"46,15,47-17,37,45",2015,kocsányos tölgy,Lukács Róbert,46.263056,17.629167
Csokonyavisonta,513,Somogy,"46,02,36-17,27,03",2016,kocsányos tölgy,,46.043333,17.450833
Csokonyavisonta,513,Somogy,"46,02,56-17,28,36",2020,kocsányos tölgy,,46.048889,17.476667
Zádor,513,Baranya,"45,56,24-17,39,00",2005,kocsányos tölgy,,45.94,17.65
Szarvas,513,Békés,"46,51,16-20,31,37",2017,kocsányos tölgy,Szél Győző; magasság: 25 m/2017,46.854444,20.526944
Hatvan,513,Heves,"47,43,07-19,42,03",2017,kocsányos tölgy,Király Tamás,47.718611,19.700833
Mátraháza,512,Heves,"47,52,31-19,57,22",2008,kocsánytalan tölgy,"Nagy-Halmaj-réten; Molnár Bence és Zoltán; 527/2014; 530/2017jan; magasság: 16 m/2017; 2017 áprilisában hótól-vihartól összetört (Hegedűs Attila, Abadi Eszter)",47.875278,19.956111
Ivánc,512,Vas,"46,54,16-16,27,37",2016,kocsányos tölgy,"Torma Zoltán, Torma Zoltánné",46.904444,16.460278
Molvány,512,Baranya,"46,01,20-17,44,53",2011,kocsányos tölgy,Lukács Róbert,46.022222,17.748056
Szabadkígyós,512,Békés,"46,36,33-21,05,04",2004,kocsányos tölgy,519/2010; Takács Márton: elszáradt (2013); 2021: nincs meg,46.609167,21.084444
Csokonyavisonta,512,Somogy,"46,02,53-17,27,36",2015,kocsányos tölgy,Lukács Róbert; 518/2020,46.048056,17.46
Ivánc,512,Vas,"46,57,01-16,30,42",2021,vörös tölgy,magasság: 24 m/2021; 2023: kivágták (Nagy Dániel),46.950278,16.511667
Gemenc,512,Tolna,"46,19,16-18,54,27",2003,kocsányos tölgy,Dunapart megálló. 522/2010; 550/2015,46.321111,18.9075
Lad/Rákospuszta,512,Somogy,"46,08,58-17,39,44",2009,kocsányos tölgy,Lukács Róbert,46.149444,17.662222
Pusztataskony,512,Jász-Nagykun-Szolnok,"47,27,28-20,30,57",2016,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán",47.457778,20.515833
Cserkeszőlő,512,Jász-Nagykun-Szolnok,"46,50,48-20,10,14",2016,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán",46.846667,20.170556
Borsodivánka,512,Borsod-Abaúj-Zemplén,"47,42,20-20,39,03",2003,kocsányos tölgy,525/2015; 541/2022; 543/2026,47.705556,20.650833
Rigyác,512,Zala,"46,29,00-16,51,38",2014,kocsányos tölgy,"Vissi Géza; erősen korhadt, üreges",46.483333,16.860556
Vizslás/Újlak,511,Nógrád,"48,02,09-19,47,38",2003,kocsányos tölgy,528/2013jan,48.035833,19.793889
Tiszaújváros,511,Borsod-Abaúj-Zemplén,"47,54,56-21,05,49",2019,kocsányos tölgy,"Török Tamás, Kecskeméti Zoltán; magasság: 30 m/2019",47.915556,21.096944
Túristvándi,511,Szabolcs-Szatmár-Bereg,"48,04,00-22,39,56",2009,kocsányos tölgy,Barcánfalvi Péter,48.066667,22.665556
Nagyrécse,511,Zala,"46,29,12-17,04,26",2018,csertölgy,"Horváth Béla, Torma Zoltánné, Torma Zoltán",46.486667,17.073889
Komjáti,511,Borsod-Abaúj-Zemplén,"48,32,38-20,45,33",2008,kocsányos tölgy,,48.543889,20.759167
Somogysárd/Sörnyepuszta,511,Somogy,"46,28,32-17,35,32",2008,kocsányos tölgy,Balogh Béla,46.475556,17.592222
Zsennye,511,Vas,"47,06,27-16,49,38",2005,kocsányos tölgy,531/2014; 525/2020,47.1075,16.827222
Kőkút-Gyöngyöspuszta,511,Somogy,"46,10,05-17,36,54",2026,kocsányos tölgy,"Elblinger Ferenc, Lukács Róbert",46.168056,17.615
Szulok,511,Somogy,"46,03,58-17,31,19",2015,kocsányos tölgy,Lukács Róbert,46.066111,17.521944
Somogyvámos,510,Somogy,"46,34,10-17,41,39",2016,kocsányos tölgy,"Lukács Róbert, Sólyom Attila",46.569444,17.694167
Túristvándi,510,Szabolcs-Szatmár-Bereg,"48,03,50-22,40,13",2009,kocsányos tölgy,Barcánfalvi Péter; 525/2014,48.063889,22.670278
Kisvásárhely,510,Zala,"46,59,40-17,12,13",2018,kocsányos tölgy,Takács Márton,46.994444,17.203611
Bácsalmás,510,Bács-Kiskun,"46,07,28-19,20,05",2022,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán",46.124444,19.334722
Vejti,510,Baranya,"45,49,50-17,58,16",2016,kocsányos tölgy,,45.830556,17.971111
Vereb,510,Fejér,"47,19,01-18,37,05",2010,kocsányos tölgy,Baranyai László,47.316944,18.618056
Lad/Rákospuszta,510,Somogy,"46,08,50-17,39,39",2017,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán",46.147222,17.660833
Lad,510,Somogy,"46,09,29-17,38,07",2017,kocsányos tölgy,Lukács Róbert; magasság: 25 m/2017,46.158056,17.635278
Kéked,510,Borsod-Abaúj-Zemplén,"48,32,43-21,21,19",2010,kocsányos tölgy,Molnár Bence,48.545278,21.355278
Gemenc,510,Tolna,"46,14,05-18,51,03",2009,kocsányos tölgy,,46.234722,18.850833
Sárvár,510,Vas,"47,16,52-16,58,42",2003,kocsányos tölgy,halott/2014,47.281111,16.978333
Iklódbördőce,510,Zala,"46,35,19-16,35,32",2004,kocsányos tölgy,,46.588611,16.592222
Pettend,510,Baranya,"46,00,25-17,41,14",2008,kocsányos tölgy,Lukács Róbert,46.006944,17.687222
Lad/Rákospuszta,510,Somogy,"46,08,54-17,39,36",2009,kocsányos tölgy,Lukács Róbert,46.148333,17.66
Kisbér,510,Komárom-Esztergom,"47,26,04-18,03,06",2010,kocsányos tölgy,Szél Győző,47.434444,18.051667
Kaposvár,510,Somogy,"46,24,10-17,48,04",2024,csertölgy,Schmidt András,46.402778,17.801111
Vértestolna,510,Komárom-Esztergom,"47,35,33-18,26,00",2021,kocsányos tölgy,"Baranyai László, Szél Győző, Lenkei Péter; hibrid",47.5925,18.433333
Sárvár,510,Vas,"47,16,36-16,58,43",2003,kocsányos tölgy,halott/2014,47.276667,16.978611
Gyulavári,509,Békés,"46,41,32-21,25,07",2025,kocsányos tölgy,,46.692222,21.418611
Somogytarnóca,509,Somogy,"46,00,53-17,27,33",2015,kocsányos tölgy,Szél Győző,46.014722,17.459167
Szőkedencs,509,Somogy,"46,33,13-17,13,45",2017,kocsányos tölgy,"Baranyai László, Sólyom Attila; magasság: 20 m/2017",46.553611,17.229167
Tiszadob,509,Szabolcs-Szatmár-Bereg,"48,01,12-21,09,49",2016,kocsányos tölgy,,48.02,21.163611
Kunbaracs,509,Bács-Kiskun,"46,58,48-19,21,46",2012,kocsányos tölgy,"Molnár László, Szél Győző",46.98,19.362778
Kajárpéc,509,Győr-Moson-Sopron,"47,30,41-17,38,27",2003,kocsányos tölgy,"összenőtt törzsek, 509+409, együtt 768 cm",47.511389,17.640833
Szabadkígyós,509,Békés,"46,36,28-21,05,01",2017,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán; magasság: 25 m; 513/2021",46.607778,21.083611
Szulok,509,Somogy,"46,03,54-17,31,10",2015,csertölgy,Lukács Róbert,46.065,17.519444
Somogyvár,509,Somogy,"46,34,28-17,36,40",2021,csertölgy,Sólyom Attila,46.574444,17.611111
Orosztony,509,Zala,"46,36,07-17,04,04",2023,kocsánytalan tölgy,Schneidler Viktor (BFNP),46.601944,17.067778
Martonvásár,509,Fejér,"47,18,54-18,47,01",2003,kocsányos tölgy,512/2008; 518/2012,47.315,18.783611
Zsennye,509,Vas,"47,06,33-16,49,28",2005,kocsányos tölgy,2014: kivágták,47.109167,16.824444
Bogyiszló,509,Tolna,"46,23,45-18,51,39",2007,kocsányos tölgy,Baranyai László; 518/2014,46.395833,18.860833
Lendvajakabfa,508,Zala,"46,41,17-16,26,39",2012,kocsányos tölgy,Vissi Géza,46.688056,16.444167
Csokonyavisonta,508,Somogy,"46,02,13-17,27,33",2011,csertölgy,"Zombori Zoltán, Lukács Róbert, Szél Győző; 2023: már nincsen meg (Fodor Péter)",46.036944,17.459167
Nagyrécse,508,Zala,"46,29,15-17,04,17",2018,csertölgy,"Horváth Béla, Torma Zoltánné, Torma Zoltán",46.4875,17.071389
Túristvándi,508,Szabolcs-Szatmár-Bereg,"48,03,40-22,40,18",2009,kocsányos tölgy,Barcánfalvi Péter,48.061111,22.671667
Felsőszentmárton,508,Baranya,"45,50,49-17,42,46",2020,kocsányos tölgy,523/2026,45.846944,17.712778
Bogyiszló,508,Tolna,"46,23,39-18,51,46",2007,kocsányos tölgy,Baranyai László,46.394167,18.862778
Diósviszló,508,Baranya,"45,51,47-18,09,55",2025,kocsányos tölgy,Torma Zoltán,45.863056,18.165278
Homorúd,508,Baranya,"45,56,58-18,48,55",2017,kocsányos tölgy,"András István, Torma Zoltánné, Torma Zoltán",45.949444,18.815278
Békéscsaba,507,Békés,"46,42,36-21,06,36",2025,kocsányos tölgy,,46.71,21.11
Galgamácsa,507,Pest,"47,43,27-19,25,08",2004,kocsányos tölgy,"2022: kiszáradt, de még áll (Veress Judit)",47.724167,19.418889
Sellye,507,Baranya,"45,52,13-17,50,51",2009,kocsányos tölgy,Lukács Róbert; 522/2014; 535/2020; 538/2025,45.870278,17.8475
Csokonyavisonta,507,Somogy,"46,02,55-17,27,50",2015,kocsányos tölgy,"Lukács Róbert; 2020: széthasadt, elpusztult",46.048611,17.463889
Ajka,507,Veszprém,"47,02,04-17,34,18",2013,csertölgy,Jandala Attila,47.034444,17.571667
Somogyfajsz,507,Somogy,"46,30,05-17,33,57",2016,kocsányos tölgy,Sólyom Attila; Torma Zoltánné és Torma Zoltán,46.501389,17.565833
Süttő/Bikolpuszta,507,Komárom-Esztergom,"47,42,50-18,27,02",2013,csertölgy,Torma Zoltán,47.713889,18.450556
Lepsény,507,Fejér,"46,59,39-18,15,04",2008,kocsányos tölgy,Baranyai László,46.994167,18.251111
Felsőszentmárton,507,Baranya,"45,50,51-17,42,45",2011,kocsányos tölgy,"Focipálya mellett szép liget, mintegy három tucat öreg tölggyel. 529/2020",45.8475,17.7125
Eszteregnye,507,Zala,"46,29,18-16,52,45",2010,csertölgy,Csóbor Ákos,46.488333,16.879167
Kerkafalva,507,Zala,"46,46,43-16,28,45",2004,kocsányos tölgy,514/2012,46.778611,16.479167
Budafapuszta,507,Zala,"46,30,35-16,41,49",2004,kocsányos tölgy,,46.509722,16.696944
Dég,507,Fejér,"46,52,26-18,26,09",2014,kocsányos tölgy,"Torma Zoltán, Torma Zoltánné",46.873889,18.435833
Tiszadob,506,Szabolcs-Szatmár-Bereg,"48,01,11-21,09,49",2016,kocsányos tölgy,,48.019722,21.163611
Neszmély,506,Komárom-Esztergom,"47,42,08-18,25,46",2010,kocsányos tölgy,"Baranyai László; 522/2014, 535/2026",47.702222,18.429444
Perkáta,506,Fejér,"47,02,58-18,47,16",2022,kocsányos tölgy,"Szél Győző, DrT",47.049444,18.787778
Bakonyszücs,506,Veszprém,"47,18,49-17,42,12",2017,csertölgy,Jandala Attila; magasság: 25 m/2017,47.313611,17.703333
Tiszaújváros,506,Borsod-Abaúj-Zemplén,"47,54,51-21,05,45",2019,kocsányos tölgy,"Török Tamás, Kecskeméti Zoltán",47.914167,21.095833
Iklódbördőce,506,Zala,"46,35,23-16,35,33",2022,kocsányos tölgy,,46.589722,16.5925
Iklódbördőce,506,Zala,"46,35,20-16,35,31",2012,kocsányos tölgy,ZDT; 503/2022 - kérge hullik,46.588889,16.591944
Ikervár,506,Vas,"47,11,19-16,53,22",2008,kocsányos tölgy,"Pásti Gréta, Baranyai László",47.188611,16.889444
Bakonyszentlászló,506,Győr-Moson-Sopron,"47,21,36-17,49,16",2018,kocsánytalan tölgy,"Vinyén található; Baranyai László, Jandala Attila; magasság: 16,5 m/2018; 486/2010",47.36,17.821111
Diósviszló,506,Baranya,"45,51,45-18,09,43",2010,kocsányos tölgy,"Lukács Róbert, Szél Győző; 528/2025",45.8625,18.161944
Balajt,506,Borsod-Abaúj-Zemplén,"48,20,06-20,49,03",2011,kocsányos tölgy,Molnár Bence,48.335,20.8175
Orosztony,506,Zala,"46,35,59-17,03,44",2023,csertölgy,Schneidler Viktor (BFNP),46.599722,17.062222
Téglás,506,Hajdú-Bihar,"47,43,10-21,39,58",2006,kocsányos tölgy,,47.719444,21.666111
Tuzsér,506,Szabolcs-Szatmár-Bereg,"48,20,54-22,07,18",2023,kocsányos tölgy,Egy alacsonyan kinövő résszel 717 cm.,48.348333,22.121667
Zsennye,506,Vas,"47,06,34-16,49,23",2014,kocsányos tölgy,,47.109444,16.823056
Tuzsér,506,Szabolcs-Szatmár-Bereg,"48,20,52-22,07,17",2003,kocsányos tölgy,540/2023,48.347778,22.121389
Gemenc,506,Tolna,"46,16,20-18,52,40",2003,kocsányos tölgy,,46.272222,18.877778
Békéscsaba,506,Békés,"46,41,09-21,06,04",2003,kocsányos tölgy,515/2009,46.685833,21.101111
Teklafalu,506,Baranya,"45,55,44-17,44,00",2009,kocsányos tölgy,2011-ben kivágták.,45.928889,17.733333
Kaposvár,506,Somogy,"46,24,08-17,48,03",2024,csertölgy,Schmidt András; magasság: 29 m/2024,46.402222,17.800833
Tornyiszentmiklós,506,Zala,"46,31,45-16,32,34",2012,kocsányos tölgy,ZDT; kissé romos; 515/2025,46.529167,16.542778
Gemenc,506,Bács-Kiskun,"46,08,53-18,52,26",2017,kocsányos tölgy,"Badari Tibor, Csontos Péter; magasság: 25 m; pandúri erdészháznál, Bajához tartozik",46.148056,18.873889
Körmend,505,Vas,"47,00,32-16,36,41",2007,kocsányos tölgy,,47.008889,16.611389
Orosztony,505,Zala,"46,38,21-17,04,04",2003,kocsányos tölgy,,46.639167,17.067778
Füzérradvány,505,Borsod-Abaúj-Zemplén,"48,29,04-21,32,00",2019,kocsányos tölgy,ZDT; 530/2025,48.484444,21.533333
